,file,prediction
1005,'I135_1',0.0
1006,'I135_2',0.0
1007,'I135_3',0.0
1008,'I135_4',0.0
1009,'I135_5',0.0
1010,'I135_6',0.0
1011,'I136_1',0.0
1012,'I136_2',0.0
1013,'I136_3',0.0
1014,'I136_4',0.0
1015,'I136_5',0.0
1016,'I136_6',0.0
1017,'I136_7',0.0
1018,'I136_8',0.0
1019,'I137_1',0.0
1020,'I137_2',0.0
1021,'I137_3',0.0
1022,'I137_4',0.0
1023,'I137_5',0.0
1024,'I137_6',0.0
1025,'I137_7',0.0
1026,'I137_8',0.0
1027,'I137_9',0.0
1028,'I137_10',0.0
1029,'I137_11',0.0
1030,'I137_12',0.0
1031,'I137_13',0.0
1032,'I138_1',0.0
1033,'I138_2',0.0
1034,'I138_3',0.0
1035,'I138_4',0.0
1036,'I138_5',0.0
1037,'I138_6',3.0
1038,'I138_7',0.0
1039,'I138_8',0.0
1040,'I138_9',0.0
1041,'I138_10',0.0
1042,'I139_1',0.0
1043,'I139_2',0.0
1044,'I139_3',0.0
1045,'I139_4',0.0
1046,'I139_5',0.0
1047,'I139_6',0.0
1048,'I139_7',2.0
1049,'I139_8',0.0
1050,'I139_9',3.0
1051,'I139_10',0.0
1052,'I140_1',0.0
1053,'I140_2',0.0
1054,'I140_3',0.0
1055,'I140_4',0.0
1056,'I140_5',0.0
1057,'I140_6',0.0
1058,'I140_7',0.0
1059,'I140_8',2.0
1060,'I140_9',0.0
1061,'I140_10',0.0
1062,'I140_11',0.0
1063,'I140_12',0.0
1064,'I140_13',0.0
1065,'I140_14',0.0
1066,'I140_15',0.0
1067,'I140_16',0.0
1068,'I140_17',0.0
1069,'I140_18',0.0
1070,'I140_19',0.0
1071,'I140_20',0.0
1072,'I141_1',0.0
1073,'I141_2',0.0
1074,'I141_3',0.0
1075,'I141_4',0.0
1076,'I141_5',0.0
1077,'I142_1',0.0
1078,'I142_2',0.0
1079,'I142_3',0.0
1080,'I142_4',0.0
1081,'I142_5',0.0
1082,'I142_6',0.0
1083,'I142_7',0.0
1084,'I142_8',0.0
1085,'I142_9',0.0
1086,'I143_1',0.0
1087,'I143_2',0.0
1088,'I143_3',0.0
1089,'I143_4',0.0
1090,'I143_5',0.0
1091,'I143_6',0.0
1092,'I143_7',0.0
1093,'I143_8',0.0
1094,'I143_9',0.0
1095,'I143_10',0.0
1096,'I143_11',0.0
1097,'I143_12',0.0
1098,'I143_13',0.0
1099,'I144_1',0.0
1100,'I144_2',2.0
1101,'I144_3',0.0
1102,'I144_4',0.0
1103,'I144_5',0.0
1104,'I144_6',0.0
1105,'I145_1',0.0
1106,'I145_2',0.0
1107,'I145_3',0.0
1108,'I145_4',0.0
1109,'I145_5',3.0
1110,'I145_6',0.0
1111,'I145_7',0.0
1112,'I145_8',0.0
1113,'I145_9',0.0
1114,'I145_10',0.0
1115,'I145_11',0.0
1116,'I145_12',0.0
1117,'I146_1',0.0
1118,'I146_2',0.0
1119,'I146_3',0.0
1120,'I146_4',0.0
1121,'I146_5',0.0
1122,'I146_6',0.0
1123,'I146_7',0.0
1124,'I146_8',2.0
1125,'I146_9',0.0
1126,'I146_10',0.0
1127,'I146_11',0.0
1128,'I146_12',0.0
1129,'I146_13',0.0
1130,'I147_1',0.0
1131,'I147_2',0.0
1132,'I147_3',0.0
1133,'I147_4',0.0
1134,'I147_5',0.0
1135,'I148_1',0.0
1136,'I148_2',0.0
1137,'I148_3',0.0
1138,'I148_4',0.0
1139,'I148_5',0.0
1140,'I148_6',0.0
1141,'I148_7',3.0
1142,'I148_8',0.0
1143,'I148_9',0.0
1144,'I149_1',0.0
1145,'I149_2',0.0
1146,'I149_3',0.0
1147,'I149_4',0.0
1148,'I149_5',0.0
1149,'I149_6',0.0
1150,'I149_7',0.0
1151,'I149_8',0.0
1152,'I150_1',0.0
1153,'I150_2',0.0
1154,'I150_3',3.0
1155,'I150_4',0.0
1156,'I151_1',2.0
1157,'I151_2',2.0
1158,'I151_3',0.0
1159,'I151_4',0.0
1160,'I151_5',0.0
1161,'I151_6',0.0
1162,'I151_7',0.0
1163,'I151_8',0.0
1164,'I151_9',0.0
1165,'I151_10',0.0
1166,'I152_1',0.0
1167,'I152_2',0.0
1168,'I152_3',0.0
1169,'I152_4',0.0
1170,'I152_5',0.0
1171,'I152_6',0.0
1172,'I152_7',0.0
1173,'I153_1',0.0
1174,'I153_2',0.0
1175,'I153_3',0.0
1176,'I153_4',2.0
1177,'I153_5',0.0
1178,'I153_6',0.0
1179,'I154_1',0.0
1180,'I154_2',0.0
1181,'I154_3',0.0
1182,'I154_4',0.0
1183,'I154_5',0.0
1184,'I154_6',0.0
1185,'I154_7',0.0
1186,'I154_8',3.0
1187,'I154_9',2.0
1188,'I154_10',0.0
1189,'I154_11',0.0
1190,'I155_1',2.0
1191,'I155_2',0.0
1192,'I155_3',0.0
1193,'I155_4',0.0
1194,'I155_5',0.0
1195,'I155_6',0.0
1196,'I155_7',0.0
1197,'I156_1',0.0
1198,'I156_2',0.0
1199,'I156_3',0.0
1200,'I156_4',0.0
1201,'I156_5',0.0
1202,'I156_6',0.0
1203,'I157_1',0.0
1204,'I157_2',0.0
1205,'I157_3',0.0
1206,'I157_4',0.0
1207,'I157_5',0.0
1208,'I157_6',0.0
1209,'I158_1',0.0
1210,'I158_2',0.0
1211,'I158_3',3.0
1212,'I158_4',0.0
1213,'I159_1',0.0
1214,'I159_2',0.0
1215,'I159_3',0.0
1216,'I159_4',3.0
1217,'I159_5',0.0
1218,'I159_6',0.0
1219,'I159_7',0.0
1220,'I159_8',0.0
1221,'I159_9',0.0
1222,'I159_10',0.0
1223,'I159_11',0.0
1224,'I159_12',0.0
1225,'I161_1',0.0
1226,'I161_2',0.0
1227,'I161_3',0.0
1228,'I161_4',0.0
1229,'I161_5',0.0
1230,'I161_6',0.0
1231,'I161_7',0.0
1232,'I161_8',0.0
1233,'I162_1',0.0
1234,'I162_2',0.0
1235,'I162_3',0.0
1236,'I162_4',2.0
1237,'I162_5',0.0
1238,'I162_6',0.0
1239,'I163_1',0.0
1240,'I163_2',2.0
